Hyper_id;MAE_test;MSE_test;RMSE_test;MAPE_test;MPE_test;MAE_train;MSE_train;RMSE_train;MAPE_train;MPE_train;Window;Dropout Rate;Number of Neurons (each layer);Number of Epochs Filter Size;Batche Size;Prediction Window;
0;74.43702037;8941.619444;94.56013665;14.41992615;14.41992615;18.31866923;590.9750771;24.30997896;6.129660075;-1.535971394;20;0.7;70;170;100;30;1
0;72.30594737;8516.07165;92.28256417;14.0096139;13.99023213;18.44909869;598.9113785;24.47266595;6.088501187;2.402951261;20;0.7;70;170;100;30;5
0;73.06075541;8633.755974;92.91800673;14.15365877;14.04818866;17.56431843;644.0175726;25.37750131;5.829223223;-1.780918768;20;0.7;70;170;100;30;10
0;78.56308645;10120.11856;100.5988;15.20028642;15.18947537;18.431412;648.5506185;25.46665699;5.777919772;0.531446478;20;0.7;70;170;100;30;30
0;20.803343;497.1501399;22.2968639;4.980599071;4.268553622;19.16962648;699.9915193;26.45735284;6.325713145;0.611295322;20;0.7;70;170;100;30;1
0;32.68895111;1182.341636;34.38519501;7.796242919;7.491927848;19.32731273;711.3099235;26.67039414;6.376361553;0.747845312;20;0.7;70;170;100;30;5
0;20.46857056;560.2267455;23.66910952;4.876717629;3.938712207;18.9719796;647.8829564;25.45354507;6.392901401;0.379834501;20;0.7;70;170;100;30;10
0;19.36521912;548.9289144;23.42923205;4.696905915;-2.761435407;21.47775292;811.5472298;28.48766803;7.076609854;2.479364157;20;0.7;70;170;100;30;30
0;25.95460948;1030.680749;32.10421699;6.428741646;-3.181172876;21.82983071;789.71918;28.10194264;7.357273092;-1.49158957;20;0.7;70;170;100;30;1
0;30.99788564;1485.255355;38.53901083;7.416683115;1.405774912;20.14247837;782.2510477;27.96875127;6.560198037;0.574900488;20;0.7;70;170;100;30;5
0;98.88914744;14174.58335;119.0570592;22.77288634;22.3405357;23.41520435;917.4860589;30.29003234;7.89025416;4.173858206;20;0.7;70;170;100;30;10
0;159.9476126;29122.85825;170.6542067;38.13880051;37.22100268;22.67179164;931.9112416;30.52722132;7.494212085;1.737568464;20;0.7;70;170;100;30;30
0;45.76466751;3752.276761;61.25583042;13.46599676;12.68025449;27.29342105;1409.152347;37.53867801;7.378244198;4.345971686;20;0.7;70;170;100;30;1
