;Hyper_id;MAE_test;MSE_test;RMSE_test;MAPE_test;MPE_test;MAE_train;MSE_train;RMSE_train;MAPE_train;MPE_train;Window;Dropout Rate;Number of Neurons (each layer);Number of Epochs Filter Size;Batche Size;Prediction Window;Prediction Window
0;92;31.3894147;2330.121606;43.33026483;7.761477849;5.957943547;25.14777743;1187.357043;34.22653448;7.969412106;-0.972433726;40;0.2;80;120;25;70;1
1;42;30.44358179;2053.88599;41.38869655;8.245322321;1.075433725;40.13400942;2919.775699;53.47539809;11.75619435;2.147025527;2;0.4;90;170;8;30;5
2;39;33.04322763;2471.16296;45.81971551;8.701525851;2.113338901;39.35373234;2704.838168;51.36641388;11.63711684;2.23404143;1;0.1;20;150;8;100;10
3;97;56.49440874;7033.83151;66.59205783;14.08311891;12.33548431;40.08725266;2773.463001;52.38872787;12.52633038;-0.019664475;4;0.1;70;150;40;50;30
0;55;28.42726906;1599.570685;36.99377926;7.769036817;-0.202888859;29.93535813;1617.811925;39.7714216;9.131724839;-0.295709172;15;0.3;60;200;8;50;1
1;49;31.24537029;2082.351363;43.30279257;9.020034188;-2.681831264;41.69620033;3149.006459;55.2040786;12.72270037;-0.28043661;5;0.2;300;70;100;20;5
2;57;34.11443385;2356.159503;45.23746676;9.097378536;3.850235737;38.71781819;2735.943526;51.85852475;11.47880731;1.853734842;1;0.5;100;700;6;70;10
3;5;58.53668505;7692.823637;68.28919888;14.50833633;11.05996765;34.85031547;2167.634149;45.87012017;10.63248822;1.506938868;10;0.4;200;150;100;90;30
0;59;30.29536778;1991.668163;41.24416844;8.036914692;1.479577026;22.89014599;981.5955142;31.13957943;7.307407742;-1.605683982;40;0.4;30;200;7;50;1
1;65;35.0497052;2632.970259;44.39887549;9.212982174;5.324273161;36.83408543;2645.42949;48.99230723;10.58090815;2.813268982;4;0.7;40;300;8;10;5
2;69;33.66734427;2458.18475;44.14845457;9.479834602;1.084630087;40.99323263;2953.327721;53.78058096;12.58755202;-0.287090532;5;0.2;100;300;35;100;10
3;64;58.93820494;8053.673288;69.01074743;14.6958496;12.08437725;38.80090741;2640.601014;50.61301765;11.90529654;0.569244403;5;0.3;70;300;9;60;30
0;70;34.05723695;2298.059053;42.79008975;8.661719493;6.656765797;40.37427819;3186.359375;54.3570255;11.37003562;6.238801055;1;0.7;200;200;20;40;1
1;57;35.29502018;2658.534869;47.7631267;9.573944561;2.269601096;39.82744167;2823.525326;52.60893211;11.83949518;3.045861126;1;0.5;100;700;6;70;5
2;59;36.68042654;2560.269118;48.11856818;9.753693521;8.795559985;22.2776274;969.1606215;30.66508246;7.049151929;-0.173180879;40;0.4;30;200;7;50;10
3;15;58.99237918;6955.014737;69.74750855;14.71571268;9.478977993;28.78968381;1509.175737;38.29566995;8.888757776;0.904484541;20;0.4;300;200;90;20;30
0;38;32.54053718;2001.597414;41.87455958;9.105782896;2.918852526;17.53456833;701.8728398;24.76468874;5.331755099;-2.124774951;30;0.1;90;50;35;100;1
1;58;35.26640158;2335.771499;45.3125259;10.08947958;3.733344469;39.76773369;2568.745245;49.09920497;12.43756907;-3.66295742;1;0.3;100;10;100;20;5
2;64;37.12296118;3105.331769;49.67432774;10.07315858;-1.952282839;37.90980356;2466.872242;49.25459093;11.86460108;-0.624764896;5;0.3;70;300;9;60;10
3;8;58.75101114;8211.367694;65.72923447;14.7806633;10.08961763;36.77341083;2331.707771;48.11255332;11.79015393;-0.671133617;5;0.2;400;500;7;20;30
0;62;36.11219312;2278.594973;43.38747951;9.417135863;7.61496767;21.84805663;819.4989211;28.46381533;6.940939026;-1.351377294;20;0.4;300;10;80;10;1
1;59;40.63138564;3530.317071;51.86766135;10.2759499;6.714024111;23.27552169;1015.941014;31.5660216;7.471051739;-2.232190855;40;0.4;30;200;7;50;5
2;77;37.61278005;3026.67097;50.27559594;10.1576203;-1.211887715;37.53031342;2512.823608;49.68079408;11.46327836;0.933742002;4;0.4;30;500;40;40;10
3;12;59.18885375;7747.313056;68.18604264;14.9526645;12.51973225;43.09565843;3114.610336;55.01857092;13.26657021;0.112443648;1;0.1;30;85;70;20;30
0;56;34.55139595;2240.881626;44.11044187;9.436178082;4.736083942;34.77937211;2247.722286;46.82525971;10.35041133;1.323778621;1;0.6;80;300;80;10;1
1;41;37.75453783;2714.440246;48.01982783;10.30441811;2.950966612;40.02315573;2648.398764;50.8254514;12.16738496;1.053717099;4;0.3;400;85;60;70;5
2;34;38.70612267;3322.696471;51.64940451;10.37047898;-0.750533189;40.09907865;2806.782501;52.48011706;12.38771766;0.186985125;3;0.2;400;300;50;70;10
3;21;60.36234001;8553.704182;68.5490141;15.09086199;11.24983211;38.80258463;2606.114748;50.43216746;11.91334801;1.236676858;5;0.2;40;200;35;90;30
0;88;36.55708454;2580.692017;45.81060977;9.446294395;6.602736103;13.57740018;373.3879462;18.29927006;4.075872946;1.942234081;30;0.6;400;100;30;30;1
1;62;37.54584356;2188.968618;45.84085741;10.30754313;1.258115698;32.84582628;1772.048958;41.41190998;10.64067755;-5.553990802;20;0.4;300;10;80;10;5
2;12;37.75690679;2783.699154;48.98315085;10.38128233;-1.771060088;40.28459095;2599.10722;50.52332421;12.86931855;-2.213435858;1;0.1;30;85;70;20;10
3;99;60.02373635;7507.809555;71.34347063;15.19193492;11.0609127;39.73381611;2653.674572;51.04478658;12.38993594;0.409298621;3;0.2;30;500;100;30;30
0;91;36.43078336;2654.106349;45.8068716;9.510974666;5.026808174;14.1187475;399.2348784;19.36790349;4.218595204;1.336206044;30;0.7;90;170;90;60;1
1;22;38.56427779;3579.125827;52.74217911;10.32252663;6.127687163;43.85139146;3271.105514;56.393358;13.38144819;-0.025771699;2;0.1;100;120;60;70;5
2;93;40.37253709;3045.709476;50.07225602;10.42832482;3.615451888;30.83367155;1729.20507;40.77525695;9.46715352;0.964871152;15;0.1;60;120;90;20;10
3;14;62.60064882;8550.970365;72.93831658;15.48835364;13.43782655;38.91716441;2705.102429;51.65838536;12.05019039;0.298598657;5;0.2;100;200;80;100;30
0;42;36.03556574;2714.040397;48.48706485;9.740846894;-0.166925306;39.13122299;2605.829254;50.47147295;11.64923012;1.721372714;2;0.4;90;170;8;30;1
1;24;39.57214341;3254.092855;51.19943905;10.35077461;4.089610392;40.98973118;3006.382084;53.5111776;11.97872323;2.131729799;3;0.5;90;120;100;90;5
2;94;38.27310561;2594.728065;48.05610887;10.43611403;1.920366338;29.05807377;1494.830942;38.24907558;9.138243503;-0.857567318;15;0.3;80;1000;5;30;10
3;10;61.11131024;7370.459018;72.0992978;15.61385722;10.61570822;24.33432163;1087.988606;32.89077797;7.851001026;-1.094154884;20;0.1;100;150;50;30;30
0;0;37.7760551;2973.16195;47.1191663;9.742974757;4.130481079;22.79875716;943.7376915;30.29258281;6.892060417;0.496322481;20;0.7;70;170;100;30;1
1;40;39.3876525;2674.391603;49.05050627;10.39305882;7.450183052;38.44143706;2735.370936;50.99597644;10.97668854;2.74882701;3;0.5;50;85;15;10;5
2;56;38.84630263;3045.33654;50.50811259;10.46014534;6.492387667;38.93300271;2869.874211;52.16030915;11.28596084;2.305434693;1;0.6;80;300;80;10;10
3;49;62.68172261;8513.977415;71.26336899;15.62971955;9.575368472;39.16801929;2683.726855;50.96524641;12.4314256;0.15567384;5;0.2;300;70;100;20;30
0;37;37.73480696;2883.587173;45.99280066;9.792772165;5.798339966;36.58107077;2427.982486;47.31178321;10.63137154;4.51811233;5;0.7;40;120;100;20;1
1;29;38.14324111;2865.044921;46.89749804;10.52069956;2.084592607;42.3109868;3070.564399;54.91301774;12.96831843;-0.284139447;1;0.1;50;1000;5;70;5
2;70;40.54188219;3232.21964;51.1497171;10.47218206;8.223819626;42.24286068;3506.403034;56.73094116;11.96509824;7.039803633;1;0.7;200;200;20;40;10
3;57;62.26022561;8914.885272;73.43559105;15.62999471;13.04654495;40.18166071;2847.00064;52.8498086;12.10524779;2.166494036;1;0.5;100;700;6;70;30
0;39;37.64643545;2608.934607;47.25603614;10.04119225;3.348718643;38.33983507;2546.872114;49.37226129;11.49884687;0.761548595;1;0.1;20;150;8;100;1
1;39;40.90065815;3513.570145;53.58086475;10.57328792;3.112806604;39.87239948;2796.773643;51.84579834;11.8230962;1.08053905;1;0.1;20;150;8;100;5
2;68;38.8691928;3023.583417;49.60585666;10.58674189;1.513438772;41.26965028;2960.056823;53.97135318;12.68961579;0.170885827;2;0.6;400;700;6;10;10
3;34;61.53752033;7801.125747;72.0529498;15.63669519;11.76173983;39.91833971;2741.064475;51.99011244;12.7019282;-0.344451075;3;0.2;400;300;50;70;30
0;57;37.49530114;2706.410425;49.173272;10.04739894;1.343060293;40.33410199;2852.865523;52.95781994;11.74017138;2.151947239;1;0.5;100;700;6;70;1
1;10;36.18761082;2202.808078;44.60562146;10.59475922;-1.159519849;32.76481843;1907.203935;41.96099846;9.820070647;-1.453830744;20;0.1;100;150;50;30;5
2;22;39.31857137;3588.339826;53.66254838;10.70216395;1.853648149;42.49489215;3005.946085;54.41817108;13.05723032;0.595718898;2;0.1;100;120;60;70;10
3;31;62.88087308;8009.774357;74.10754059;15.67247985;13.00697089;23.86457568;956.5001744;30.88643322;8.199952731;-1.687726179;40;0.3;30;50;20;40;30
0;65;39.5035187;2980.942549;50.83128276;10.05347393;5.467734791;36.28062356;2466.589717;48.91422565;10.60768586;2.224307723;4;0.7;40;300;8;10;1
1;56;39.28715504;2749.601054;49.34382509;10.68255666;5.531085794;35.36234952;2286.152375;47.23718599;10.56531807;1.269953777;1;0.6;80;300;80;10;5
