Date;Price;Open;High;Low;Vol.;Change %;Price_5D_MA;Open_5D_MA;High_5D_MA;Low_5D_MA;Vol._5D_MA;Change %_5D_MA;Price_10D_MA;Open_10D_MA;High_10D_MA;Low_10D_MA;Vol._10D_MA;Change %_10D_MA;Price_50D_MA;Open_50D_MA;High_50D_MA;Low_50D_MA;Vol._50D_MA;Change %_50D_MA;Price_100D_MA;Open_100D_MA;High_100D_MA;Low_100D_MA;Vol._100D_MA;Change %_100D_MA;Price_200D_MA;Open_200D_MA;High_200D_MA;Low_200D_MA;Vol._200D_MA;Change %_200D_MA;RSI EWMA;RSI SMA;Position_10D_MA_50D_MA;Position_50D_MA_200D_MA;Previous_Position_10D_MA_50D_MA;Previous_Position_50D_MA_200D_MA;GoldenCross_10D_MA_50D_MA;DeathCross_10D_MA_50D_MA;GoldenCross_50D_MA_200D_MA;DeathCross_50D_MA_200D_MA;K;D;Momentum;Price_Orig;Price_D1;Price_Orig_D1;Price_D5;Price_Orig_D5;Price_D10;Price_Orig_D10;Price_D30;Price_Orig_D30
15/11/2016;0.725476215;0.720586737;0.732451679;0.745416228;0.028888485;0.814350429;0.697139466;0.703343524;0.700065966;0.710177698;0.066502936;0.7731034;0.66793712;0.673256179;0.661412784;0.688316713;0.089405097;0.79641494;0.666932141;0.658429194;0.631172685;0.706813821;0.102334116;0.585541549;0.661056091;0.657935048;0.634237399;0.694732705;0.159182332;0.078375256;0.809412773;0.810139879;0.79879617;0.810273403;0.652516756;0.154882657;0.812659363;0.828487964;1;1;0;1;1;0;0;0;0.834502104;0.782361714;0.536280101;712.2;0.758887644;745;0.743302435;729.7;0.754201895;740.4;0.791891617;777.4
14/11/2016;0.720586737;0.721299786;0.721261445;0.736564805;0.021866473;0.812732568;0.692700297;0.698842164;0.69417613;0.703836606;0.069265897;0.773312009;0.660509856;0.667213021;0.654579455;0.680951972;0.087378374;0.785714286;0.663680076;0.655274277;0.627973427;0.703409881;0.102069728;0.584512477;0.660118204;0.656944743;0.633243614;0.693614596;0.160708057;0.079740587;0.805996651;0.806694622;0.795379734;0.806786315;0.653897093;0.156399165;0.798492796;0.773936869;1;1;0;1;1;0;0;0;0.767180926;0.757367256;0.536280101;707.4;0.725476215;712.2;0.766934909;752.9;0.751451564;737.7;0.788937557;774.5
31/10/2016;0.717225222;0.715595396;0.718209563;0.724973656;0.038420957;0.810710241;0.688261128;0.691765159;0.68984121;0.69835574;0.078117605;0.780265628;0.654590384;0.657036573;0.649236523;0.671796194;0.091120017;0.812772628;0.660501017;0.652112773;0.625031365;0.700233103;0.101659334;0.582154189;0.65912449;0.655830187;0.632320941;0.692553474;0.161709314;0.080922124;0.80257201;0.803226103;0.792022694;0.803378535;0.653568608;0.155976531;0.788689564;0.761074438;1;1;0;1;1;0;0;0;0.720897616;0.806597244;0.541587452;704.1;0.720586737;707.4;0.768055414;754;0.75583172;742;0.789446878;775
30/10/2016;0.715595396;0.727819089;0.728992879;0.735300316;0.044387848;0.795421453;0.682231454;0.681414438;0.685035103;0.691105267;0.079563043;0.798970864;0.645180656;0.647059662;0.639816091;0.663772352;0.088057005;0.815907852;0.657448058;0.649659315;0.622804431;0.697087779;0.101296293;0.57031987;0.658080532;0.655134748;0.631645381;0.691610254;0.166045586;0.07364911;0.799172926;0.799848183;0.788716734;0.800094674;0.652888923;0.154360581;0.784053019;0.730476643;1;1;0;1;1;0;0;0;0.758155231;0.878066106;0.555529151;702.5;0.717225222;704.1;0.754507487;740.7;0.76398085;750;0.792502801;778
29/10/2016;0.727819089;0.706427626;0.736520855;0.729504742;0.05559396;0.833441191;0.672023739;0.667019715;0.674056448;0.680020645;0.07101833;0.815729087;0.635407941;0.635272655;0.628146003;0.653771206;0.07993177;0.828039804;0.654975825;0.646754684;0.62007879;0.694540066;0.098076278;0.578681074;0.657382699;0.654231605;0.630781374;0.690820307;0.165669174;0.07769259;0.79581522;0.796287839;0.785312177;0.796698047;0.653337969;0.160178003;0.880232564;0.81668345;1;1;0;1;1;0;0;0;0.89673913;0.951776417;0.568837136;714.5;0.715595396;702.5;0.758887644;745;0.752775797;739;0.7845574;770.2
28/10/2016;0.706427626;0.701538148;0.707019329;0.718229715;0.036747317;0.814593108;0.657827893;0.658715066;0.658742873;0.670607319;0.058764087;0.790070232;0.623862177;0.627462159;0.616883665;0.644529459;0.074163403;0.799890949;0.652048967;0.644719466;0.617240233;0.692058755;0.093731626;0.561958666;0.656476447;0.653888522;0.629928035;0.690211144;0.165059385;0.066166045;0.792276181;0.79295522;0.781747253;0.793308855;0.651786401;0.154062251;0.828540982;0.752003802;1;1;0;1;1;0;0;0;0.97761194;0.955067228;0.548795944;693.5;0.727819089;714.5;0.725476215;712.2;0.743302435;729.7;0.787307731;772.9
27/10/2016;0.701538148;0.691351737;0.702543235;0.713066386;0.047043842;0.820821873;0.649637982;0.653010134;0.653182868;0.664315383;0.053174207;0.778944441;0.616225498;0.620492574;0.6093895;0.637551582;0.070485955;0.794097601;0.649998175;0.642450429;0.615395955;0.689829069;0.09300949;0.567232656;0.656132183;0.653621474;0.629600922;0.689910492;0.165272686;0.064590663;0.788963505;0.789647088;0.778513755;0.790036147;0.650764252;0.15401253;0.814466423;0.755086543;1;1;0;1;1;0;0;0;0.969745223;0.88315471;0.540240811;688.7;0.706427626;693.5;0.720586737;707.4;0.766934909;752.9;0.784862993;770.5
26/10/2016;0.691351737;0.671793827;0.697456765;0.693888303;0.04253229;0.832470474;0.644011869;0.642900128;0.648565236;0.654090987;0.049541425;0.79959669;0.609398559;0.615575383;0.60292174;0.631977877;0.063231936;0.779443839;0.647711774;0.640355933;0.613200386;0.687525993;0.090089379;0.564059686;0.655864215;0.653704926;0.629519143;0.689710058;0.166565035;0.05731765;0.785675168;0.786461388;0.77528501;0.786756004;0.649611059;0.150357995;0.782776035;0.722062672;1;1;0;1;1;0;0;0;0.880622837;0.763139896;0.554737009;678.7;0.701538148;688.7;0.717225222;704.1;0.768055414;754;0.779260467;765
25/10/2016;0.671793827;0.66690435;0.681586979;0.687776607;0.020083682;0.81491668;0.634041543;0.636400838;0.637586581;0.64757785;0.043823631;0.784090119;0.604582007;0.612824606;0.597325722;0.629298487;0.05470319;0.763835878;0.645604569;0.638775181;0.611039319;0.685824023;0.086695736;0.554197753;0.655947955;0.653812487;0.629592033;0.689810275;0.168753247;0.056740009;0.782508531;0.783557283;0.772183371;0.783744766;0.649289563;0.140886038;0.705643402;0.610277692;1;1;0;1;1;0;0;0;0.72706422;0.693787761;0.54285488;659.5;0.691351737;678.7;0.715595396;702.5;0.754507487;740.7;0.779260467;765
24/10/2016;0.66690435;0.671284506;0.670396745;0.68914647;0.020738585;0.803591652;0.627632047;0.630888477;0.629010979;0.641507115;0.041035087;0.779709339;0.60188753;0.611157037;0.593909058;0.6271779;0.051841934;0.755793348;0.644011721;0.637451301;0.609336185;0.684181464;0.086522108;0.548923763;0.656055886;0.654012774;0.629584921;0.689936038;0.168853623;0.054718269;0.779621805;0.780715619;0.76924804;0.780833902;0.649675708;0.138872315;0.682252857;0.686161606;1;1;0;1;1;0;0;0;0.616972477;0.738538858;0.539607098;654.7;0.671793827;659.5;0.727819089;714.5;0.758887644;745;0.771518794;757.4
