Hyper_id;MAE_test;MSE_test;RMSE_test;MAPE_test;MPE_test;MAE_train;MSE_train;RMSE_train;MAPE_train;MPE_train;Window;Dropout Rate;Number of Neurons (each layer);Number of Epochs; Batche Size; Prediction Window
0;69.06630273;7339.754188;81.88653936;19.20937057;4.182969943;21.90804401;912.9951606;30.07447332;7.1494891;-0.055061403;40;0.7;800;100;20;1
11;46.80940433;5305.695825;59.34362045;11.23938612;6.952552607;22.7563729;937.4227201;30.36555452;7.228530177;-0.200869266;20;0.1;700;85;60;5
17;47.30982993;5695.180134;62.29946495;11.21918981;7.250901716;21.55399824;865.9872913;29.37109869;6.862040039;0.236804752;20;0.5;100;150;20;10
18;40.29157413;4024.496739;53.02548288;9.937151089;3.821263409;40.01382863;2516.05885;50.01705974;13.12975924;-2.528004832;1;0.4;400;100;10;30
1;67.36681957;7298.832152;80.63705149;18.93191818;3.816232604;22.71060687;965.7642289;31.00683175;7.405803656;-0.993188128;40;0.5;600;85;20;1
15;45.57545863;5273.027076;59.81279047;11.29828802;6.071406961;7.739344238;108.3810526;10.32171292;2.516867324;-0.16838879;30;0.3;400;170;25;5
15;50.46015807;5726.481032;63.75234668;12.1153159;7.569725558;7.062277014;109.2938535;10.15254136;2.242162839;-0.218140588;30;0.3;400;170;25;10
2;40.51908133;4107.497248;54.7702184;10.08492442;1.981719366;39.00554339;2472.466028;49.49073004;12.56277679;-0.136305063;3;0.5;400;85;50;30
2;55.24720138;5906.619324;67.8399838;14.28652375;6.116959517;40.08545857;2670.03236;51.34765846;12.62890854;-1.442861805;3;0.5;400;85;50;1
17;50.36307839;5891.142713;65.09214761;12.56018176;5.41692017;22.87852685;972.8711528;31.02284847;7.149121529;-0.309821624;20;0.5;100;150;20;5
18;47.88056934;5889.053695;62.00542685;12.34394413;4.507456666;42.57080675;3081.926621;54.82186544;13.22847526;0.315425848;1;0.4;400;100;10;10
16;41.41147111;3748.185155;53.218435;10.17867904;4.337016376;39.49607435;2556.383616;50.1882175;12.60268671;0.002119371;2;0.1;300;170;30;30
3;55.09116535;5954.679257;67.33983805;14.17427106;4.762911229;39.71438623;2564.181299;50.05497692;12.34594368;-0.52393289;4;0.4;700;50;50;1
7;51.9565313;6103.595087;64.7651692;13.48254793;4.068172615;34.32692065;2074.11593;45.10193711;10.77824996;-0.064736771;10;0.3;800;170;50;5
4;49.8495856;5701.546343;64.27199752;12.4042312;4.48281875;39.64568119;2606.086586;50.59191146;12.59562387;-1.118867184;4;0.6;800;50;25;10
19;45.89617303;4533.193444;58.49448495;10.966743;5.475683966;38.19198411;2369.503557;48.25169945;12.29133152;0.383929717;2;0.2;700;85;25;30
4;63.40027427;6727.616028;72.94629184;16.61890208;3.416716123;37.05848253;2447.270818;49.05903128;11.73678231;-0.28998231;4;0.6;800;50;25;1
18;52.09618408;6222.085922;63.77940062;13.52310556;4.16071616;42.89146556;3146.385513;55.64543355;13.55396466;-1.247495134;1;0.4;400;100;10;5
11;51.85510099;6217.442848;64.26546108;12.47320272;5.611787393;23.59564314;992.8576681;31.28429072;7.444772866;0.074963413;20;0.1;700;85;60;10
4;45.64300584;4746.793267;58.52225195;11.48373114;2.626112632;38.97349285;2405.155993;48.8704951;12.68617209;-1.583206377;4;0.6;800;50;25;30
5;57.25450385;6612.810419;69.37501408;15.01694726;2.932881837;34.40887307;2113.491392;45.73694225;10.84598978;-0.434737668;10;0.4;200;50;20;1
3;53.40948884;6441.837641;66.76438374;13.94251889;4.879807378;37.78034763;2425.073102;49.04057651;12.07010239;-0.611890432;4;0.4;700;50;50;5
2;50.01280435;5808.106621;64.98768122;12.81812919;3.914055254;40.33410216;2751.980615;51.96416153;12.9224529;-1.264105689;3;0.5;400;85;50;10
9;52.28303939;6479.83701;68.08952909;12.27329274;8.92995507;43.23442421;2865.359459;53.29987806;13.95811457;-1.65924501;1;0.2;300;30;30;30
6;53.60996303;6513.392368;64.65827362;13.12983039;4.22795941;32.57216097;1874.891396;41.92238054;9.880990168;0.791153617;1;0.3;200;50;60;1
14;56.41980486;6321.703357;66.91024873;14.08942282;6.00950016;31.47491244;1752.884712;41.3192529;9.694208462;1.19251455;10;0.7;100;30;20;5
8;53.34227138;6005.171449;67.79603192;13.13137606;5.023243695;16.88879814;508.0174592;21.98548116;5.649547386;-2.420373193;30;0.5;800;20;50;10
3;49.77511569;4621.523589;61.95302518;12.83637307;2.213360406;39.56543767;2581.875448;50.31312862;12.64792964;0.311888964;4;0.4;700;50;50;30
7;55.46812152;6593.410677;69.10350558;14.11157841;4.738895708;34.79433111;2218.222085;46.59623727;10.99533484;-0.886900378;10;0.3;800;170;50;1
8;55.8891949;6468.507704;67.69156685;14.1209689;5.900428737;16.61352261;476.2045083;21.66584455;5.440811346;-0.306883695;30;0.5;800;20;50;5
13;54.86780127;6593.165349;67.83878818;13.88184979;4.421233391;28.20494302;1441.922452;37.47768066;8.825328252;0.29025303;15;0.7;600;50;25;10
6;54.87208257;6602.430662;69.2875898;12.88546268;9.158903982;42.42794394;2785.391719;52.6425561;13.74320063;-0.874012787;1;0.3;200;50;60;30
8;45.37844149;3927.315126;55.58250998;11.90521444;1.432666439;15.60711347;423.1058563;20.16106713;5.289830676;-3.165670536;30;0.5;800;20;50;1
16;55.25621076;6604.744689;70.19091067;14.50630107;4.279994422;41.42814409;2946.874106;53.7581356;13.0556402;-1.156977798;2;0.1;300;170;30;5
7;55.57762273;6600.009329;69.64872419;14.28722222;5.413334223;33.76557789;2078.566439;45.2819826;10.73164879;-0.535311368;10;0.3;800;170;50;10
14;63.09563012;7439.523897;77.00399516;15.79915056;8.216997212;31.44388374;1548.851854;39.08968501;10.26147297;0.017266378;10;0.7;100;30;20;30
9;55.73206307;5994.489593;65.92657857;14.14050681;3.21373694;36.76580803;2267.08643;46.65186148;11.45775667;-1.777520313;1;0.2;300;30;30;1
9;58.33293734;7175.436335;70.48104307;14.55137412;2.399626868;36.81808014;2336.4935;47.21100589;11.43664343;-1.076405865;1;0.2;300;30;30;5
3;54.91325943;6125.32306;68.39076242;14.39370128;2.84879052;39.8977697;2686.377905;51.41613227;12.52793555;-0.085423392;4;0.4;700;50;50;10
5;65.35468284;7977.905517;80.46628625;17.06294305;5.346740169;33.73449824;1942.628181;43.5310582;10.88964208;-1.399704147;10;0.4;200;50;20;30
10;58.70239455;6208.777392;72.48393727;16.25826651;3.745480519;22.26327846;931.5643157;30.29177241;7.229236041;-1.664158335;40;0.3;400;70;40;1
5;56.19308275;6641.360284;69.64423641;14.55827006;4.07212683;35.19052199;2096.535297;45.60944215;11.17319522;-1.100325797;10;0.4;200;50;20;5
19;54.89743229;6233.339491;69.15560805;14.60384674;1.565247043;42.96829164;3148.240634;55.73383724;13.50357512;-1.618448364;2;0.2;700;85;25;10
17;71.91991969;10425.25038;85.06731703;17.97504259;10.98019648;22.54663268;908.1953511;30.05967722;7.398004324;-0.369547877;20;0.5;100;150;20;30
11;48.73236104;5054.850177;62.01961083;12.09400263;5.100421466;23.53667934;985.9773462;31.12709672;7.497349441;-0.109768177;20;0.1;700;85;60;1
2;55.33021616;6267.976861;67.71855113;14.80576888;2.6310901;41.0402685;2814.286869;52.40449753;13.07245645;-1.575538113;3;0.5;400;85;50;5
16;54.9962554;5917.636096;68.47936434;14.61235339;1.823970821;42.76942761;3096.579387;55.11047806;13.51540142;-1.171574825;2;0.1;300;170;30;10
12;73.3226227;10099.99809;90.40959522;18.79319485;9.574726288;23.2784331;966.616844;31.06077881;7.800455844;-1.504977778;40;0.7;600;85;50;30
12;59.77972439;6441.283389;74.0244281;15.98291779;5.911985509;21.28533409;869.6824851;29.36336491;6.94746076;0.128217406;40;0.7;600;85;50;1
4;56.46108099;6014.757942;68.49902627;14.82834321;4.327956067;41.22239715;2786.868879;51.94336518;12.94179582;-0.575347909;4;0.6;800;50;25;5
5;59.31380564;6910.749518;72.13388403;15.6792026;1.796063807;33.85226186;2024.188078;44.30466365;10.7086638;-0.248080127;10;0.4;200;50;20;10
13;73.89653255;9315.105004;85.92691751;19.28634482;8.136444745;26.58479528;1226.299729;34.8320934;8.692230111;-0.104642118;15;0.7;600;50;25;30
13;53.98641728;5781.032233;66.00939381;13.67211381;4.557103086;28.38540043;1426.120013;37.40668219;8.94687453;-1.08089319;15;0.7;600;50;25;1
