Hyper_id;MAE_test;MSE_test;RMSE_test;MAPE_test;MPE_test;MAE_train;MSE_train;RMSE_train;MAPE_train;MPE_train;Window;Dropout Rate;Number of Neurons (each layer);Number of Epochs; Batche Size; Prediction Window
81;38.07036242;3669.395167;50.93509392;9.289702405;1.524830237;40.0648039;2553.709091;50.3439637;13.11698763;-2.294919227;3;0.5;400;120;60;30
97;26.65558345;1375.705363;34.41296732;7.580070546;2.358445135;30.07496766;1669.409803;40.05123137;8.823151544;0.960024811;3;0.6;700;10;60;1
47;34.038382;2168.762789;45.30162772;9.504564013;-0.133248579;33.51072855;2026.851969;44.24151947;10.34201794;-0.059839785;10;0.4;200;70;15;10
53;38.41481524;3717.261518;51.15677774;9.365481002;4.41173731;37.92336726;2375.538417;48.71864458;12.22050059;-0.256041603;4;0.1;800;100;50;30
57;35.13991492;2217.407412;44.69617757;9.315120688;3.494133905;30.71956437;1704.063831;40.47679957;9.281316841;-0.365886451;1;0.2;100;20;30;5
40;32.77258291;2158.748674;43.62438586;9.772363834;-2.431818308;43.17001191;3138.572013;55.50715923;13.31786311;-0.524097692;1;0.1;700;100;15;10
57;30.64595336;1853.418006;39.32545593;8.304455226;2.512564698;28.78479465;1570.669546;38.42334274;8.460921186;0.259537423;1;0.2;100;20;30;1
45;36.2753098;2586.683011;47.07160641;9.382613312;5.458269005;28.46774552;1617.238742;38.44395873;8.83501994;-1.499442444;15;0.3;800;20;20;5
27;39.8145687;3847.90471;52.82350879;9.755943114;4.005751115;39.62853604;2557.564797;50.45111455;12.75324103;-0.013761706;2;0.1;800;150;25;30
25;39.20906396;4221.11103;52.78583644;9.731940906;4.901922784;40.96946562;2737.614619;51.40451777;12.57237809;0.104804513;4;0.1;400;10;10;5
86;34.47260733;2284.468448;45.67563031;9.824783571;0.525175021;40.96342584;2997.8656;54.07812313;12.38226955;1.195314156;4;0.3;500;100;25;10
52;36.73889135;3539.675393;49.52929834;8.694028075;5.962660254;24.69187632;1014.173343;31.39407585;7.965396101;0.849378506;15;0.6;700;10;15;1
18;40.29157413;4024.496739;53.02548288;9.937151089;3.821263409;40.01382863;2516.05885;50.01705974;13.12975924;-2.528004832;1;0.4;400;100;10;30
